Tweet;Target;Sent_Target;Sent_Sociedad;Sent_Empresas
Repsol empezará a enviar crudo desde Venezuela a Europa https://t.co/rCRj2Hkek7;Repsol;POS;POS;POS
Tras vetar el petróleo de Moscú todos miran al gas: la ruleta rusa del corte energético https://t.co/3WUZfZEF2a;gas;NEG;NEG;NEG
Las demoras de Bruselas, Madrid y Lisboa retrasan el plan para abaratar la luz https://t.co/1WpHbMxmrh;luz;NEG;NEG;NEG
La gran banca se iguala en rentabilidad a las grandes entidades de Europa y EE UU https://t.co/HpoYqDIfo6;banca;POS;POS;POS
Wall Street reacciona con caídas a los buenos datos de empleo de mayo en Estados Unidos https://t.co/2w47eAg0Ai;Wall Street;NEG;NEG;NEG
La SEPI compra a los March un 3,21% de Indra para reforzar su posición en la tecnológica https://t.co/3JaMS8UyDk;SEPI;POS;POS;NEG
Las grandes operadoras de telefonía desguazan sus redes para tapar deudas (y lo pagarán en el futuro) https://t.co/bEk7aW9CIC;operadoras telefonía;POS;NEG;NEG
Nueva ola de inflación energética https://t.co/y64NOyRyyz;inflación energética;NEG;NEG;NEG
Los cables rotos de las ‘telecos’: por qué sus ingresos caen aunque sus servicios son cada vez más demandados https://t.co/FGajFyqvTC;telecos;NEG;POS;POS
La falta de gasoil lastra la producción agropecuaria en Argentina https://t.co/h4RMken0xK;gasoil;NEG;NEG;NEG
Estados Unidos sigue creando empleo a toda máquina pese a la subida de tipos de interés https://t.co/LlaIjxCQ6t;empleo;POS;POS;POS
Marie Claire recibe otros 12 millones de euros de ayuda pública https://t.co/7zZcK1uiiN;Marie Claire;POS;POS;NEG
Alemania aprueba la subida del salario mínimo a 12 euros la hora a partir de octubre https://t.co/HZdU21Xp4e;salario mínimo;POS;POS;NEG
Brookfield amplía su cartera en España y adquiere un hotel en Madrid por 175 millones https://t.co/BvHkiu8FzW;Brookfield;POS;POS;NEG
España libera cuatro millones de barriles de crudo de sus reservas en plena tormenta de precios https://t.co/sM8ief51rg;España;NEG;POS;POS
Musk se plantea despedir a 10.000 empleados de Tesla por “un presentimiento supermalo” sobre la economía https://t.co/WJ1aVWWsfR;Tesla;POS;POS;NEG
El TJUE exime a Amazon de responsabilidad sobre las falsificaciones vendidas en su tienda https://t.co/yS30FrBIzv;Amazon;POS;NEG;NEG
100 días de guerra en Ucrania: un devastador tsunami económico https://t.co/N5XKLVTBUE;guerra;NEG;NEG;NEG
Los fijos discontinuos no cuentan como parados por una orden de 1985 aunque estén inactivos https://t.co/k3ihn6RBic;fijos discontinuos;NEG;POS;POS
Metro de Madrid pide ofertas para la seguridad privada en sus 300 estaciones por 265 millones https://t.co/ACVTTnj4Pz;seguridad privada;POS;POS;POS
Bruselas da luz verde a la nueva línea de 10.000 millones en avales del ICO https://t.co/h4G2zOkf8L;ICO;POS;POS;POS
OHLA alerta de la falta “preocupante” de obreros de la construcción https://t.co/S54FsXbGNr;construcción;NEG;NEG;NEG
Paradores deberá pagar los complementos que quitó a su plantilla durante el estado de alarma https://t.co/Xvy23uiZUs;Paradores;NEG;POS;POS
La china Envision y Acciona Energía proyectan una planta de baterías en Extremadura https://t.co/SWG5w8ulPe;Extremadura;POS;POS;POS
Shein revoluciona Madrid con su primera tienda pop-up por cuatro días https://t.co/IwC43GZc1F;Shein;POS;POS;NEG
El Gobierno pacta con Bildu subir las pensiones no contributivas un 15% https://t.co/cuQr0UEm18;pensiones;POS;POS;POS
