Tweet;Target;pred_target;dependencia;pred_entidad
Repsol empezará a enviar crudo desde Venezuela a Europa;Repsol;Repsol;nsubj;ORG
Tras vetar el petróleo de Moscú todos miran al gas la ruleta rusa del corte energético;gas;gas;obj;OTHER
Las demoras de Bruselas Madrid y Lisboa retrasan el plan para abaratar la luz;luz;luz;obj;OTHER
La gran banca se iguala en rentabilidad a las grandes entidades de Europa y EE UU;banca;banca;nsubj;OTHER
Wall Street reacciona con caídas a los buenos datos de empleo de mayo en Estados Unidos;Wall Street;Wall;nsubj;LOC
La SEPI compra a los March un 321 de Indra para reforzar su posición en la tecnológica;SEPI;SEPI;nsubj;ORG
Las grandes operadoras de telefonía desguazan sus redes para tapar deudas y lo pagarán en el futuro;operadoras telefonía;operadoras;nsubj;OTHER
Nueva ola de inflación energética;inflación energética;None;None;None
Los cables rotos de las telecos por qué sus ingresos caen aunque sus servicios son cada vez más demandados;telecos;telecos;obj;OTHER
La falta de gasoil lastra la producción agropecuaria en Argentina;gasoil;None;None;None
Estados Unidos sigue creando empleo a toda máquina pese a la subida de tipos de interés;empleo;empleo;obj;OTHER
Marie Claire recibe otros 12 millones de euros de ayuda pública;Marie Claire;Marie;nsubj;PER
Alemania aprueba la subida del salario mínimo a 12 euros la hora a partir de octubre;salario mínimo;None;None;None
Brookfield amplía su cartera en España y adquiere un hotel en Madrid por 175 millones;Brookfield;Brookfield;nsubj;ORG
España libera cuatro millones de barriles de crudo de sus reservas en plena tormenta de precios;España;España;nsubj;LOC
Musk se plantea despedir a 10000 empleados de Tesla por un presentimiento supermalo sobre la economía;Tesla;None;None;None
El TJUE exime a Amazon de responsabilidad sobre las falsificaciones vendidas en su tienda;Amazon;Amazon;obj;ORG
100 días de guerra en Ucrania un devastador tsunami económico;guerra;None;None;None
Los fijos discontinuos no cuentan como parados por una orden de 1985 aunque estén inactivos;fijos discontinuos;fijos;nsubj;OTHER
Metro de Madrid pide ofertas para la seguridad privada en sus 300 estaciones por 265 millones;seguridad privada;None;None;None
Bruselas da luz verde a la nueva línea de 10000 millones en avales del ICO;ICO;None;None;None
OHLA alerta de la falta preocupante de obreros de la construcción;construcción;None;None;None
Paradores deberá pagar los complementos que quitó a su plantilla durante el estado de alarma;Paradores;Paradores;nsubj;OTHER
La china Envision y Acciona Energía proyectan una planta de baterías en Extremadura;Extremadura;None;None;None
Shein revoluciona Madrid con su primera tienda popup por cuatro días;Shein;Shein;nsubj;PER
El Gobierno pacta con Bildu subir las pensiones no contributivas un 15;pensiones;pensiones;obj;OTHER
Iberia se hará con el 20 de Air Europa antes de que acabe el año tras recibir el visto bueno de la SEPI;Iberia;Iberia;nsubj;ORG
Locura por la ropa de Shein en Madrid Es todo bueno bonito y barato;Shein;None;None;None
Estados Unidos sigue creando empleo a toda máquina pese a la subida de tipos de interés;empleo;empleo;obj;OTHER
La megafactoría de baterías de Extremadura tendrá una inversión inicial de 1000 millones;baterías Extremadura;None;None;None
Vodafone ofrecerá también luz con energía 100 renovable;luz;luz;obj;OTHER
El CES tacha de ineficaz y regresiva la bonificación a los combustibles;combustibles;None;None;None
La sequía el calor y los abonos caros recortan la cosecha de cereales;cosecha cereales;cosecha;obj;OTHER
Los hoteleros critican a Belarra tras anunciar que congelará los precios del Imserso;precios del Imserso;precios;obj;OTHER
El Banco de España insiste en que faltan medidas para asegurar la sostenibilidad de las pensiones;pensiones;None;None;None
Las matriculaciones de turismos caen un 11 en mayo por la crisis de los microchips y la incertidumbre económica;turismos;None;None;None
Vodafone España entra en el negocio de electricidad con descuentos de hasta el 25;Vodafone;Vodafone;nsubj;OTHER
Telefónica avanza en la búsqueda de un socio para su fibra rural;Telefónica;Telefónica;nsubj;ORG
La inflación no puede con las botas Dr Martens sube precios y eleva previsiones;Dr Martens;None;None;None
El embargo al petróleo ruso añade presión sobre los precios y ensombrece las perspectivas económicas europeas;perspectivas económicas;perspectivas;obj;OTHER
Jobandtalent la compañía española que nació delante de un café moca blanco y hoy vale 2000 millones de euros;Jobandtalent;Jobandtalent;nsubj;PER
La galletera Siro plantea un cierre que afectará a 200 empleados en Palencia;empleados Palencia;empleados;obj;OTHER
Rusia se asoma al abismo de la suspensión de pagos;Rusia;Rusia;nsubj;ORG
El langostino impulsa las ventas en Nueva Pescanova que vuelve a beneficios;Nueva Pescanova;None;None;None
Iberia inaugura su vuelo a Washington con biocombustible de Repsol;Repsol;None;None;None
Alquileres más caros la falta de oferta de vivienda provocará en 2022 un repunte del 6 en los precios;alquileres;None;None;None
 El paro baja por primera vez de los tres millones desde 2008 tras reducirse en 100000 personas en mayo;paro;paro;nsubj;OTHER
El grupo Puig compra la firma sueca de lujo Byredo valorada en 1000 millones;grupo Puig;grupo;nsubj;OTHER
MásMóvil dispara un 39 sus ingresos por la integración de Euskaltel;MásMóvil;MásMóvil;nsubj;ORG
Gasóleo más caro pero garantizado así afectará a los españoles el veto al petróleo ruso;Gasóleo;Gasóleo;nsubj;OTHER
