ID,Heading,Target,S. Target,S. Others,S. Society
1360,Apple da el salto al 5G con el iPhone 12,Apple,1,0,0
3526,"Bankinter gana 220 millones hasta septiembre, un 50% menos",Bankinter,-1,0,0
3528,Vueling garantiza el empleo de todos sus pilotos hasta el final de 2021,Vueling,1,0,1
3735,La actividad empresarial de la zona euro se contrajo en octubre por el empeoramiento de la epidemia,actividad empresarial de la zona euro,-1,-1,-1
4384,Inditex firma un acuerdo para mantener el empleo con la transformación digital de la empresa,Inditex,1,0,1
5804,"Macron renuncia a su pensión vitalicia para dar ""ejemplo""",Macron,1,0,1
7312,Así evoluciona el precio de la vivienda usada,precio de la vivienda usada,0,0,0
8108,El gestor Bill Ackman hace una nueva apuesta contra el crédito corporativo,Bill Ackman,1,0,0
8216,La segunda ola del coronavirus desploma un 82% el tráfico de los aeropuertos en España,segunda ola del coronavirus,-1,-1,-1
8285,La fiscalidad del automóvil se atasca en cinco carteras ministeriales,fiscalidad del automóvil,-1,0,0
9122,El Gobierno aprueba hoy bajar el IVA de las mascarillas al 4% y ampliar los avales del ICO,El Gobierno,1,0,1
9887,Las inmobiliarias se lanzan a comprar supermercados por 600 millones,Las inmobiliarias,1,0,0
10411,Santander reivindica el papel de la banca en la recuperación,Santander,1,0,0
10885,"El deporte alcanza el 3,3% del PIB español y genera 414.000 empleos",El deporte,1,1,1
12636,"País Vasco, Castilla-La Mancha y Madrid se salvan de la debacle del paro en noviembre",País Vasco,1,1,1
12794,El Covid-19 recorta en 2.150 millones el beneficio de las cotizadas catalanas,El Covid-19,-1,-1,0
13570,"Francia prepara hasta 5.000 millones de ayuda a Air France para la primavera, según RTL",Francia,1,1,1
13646,O'Leary no ve claro el futuro de IAG como dueña de British Airways tras el Brexit,futuro de IAG,-1,0,0
13684,Xavier Labandeira: “España es uno de los países más vulnerables al cambio climático”,España,-1,-1,-1
14538,Dia ficha al exdirector financiero de Vips e incorpora al consejo a su responsable en Brasil,Dia,1,0,0
15459,El salario mínimo ante la fragilidad empresarial,El salario mínimo,0,0,0
15767,Los inversores fuerzan la salida del CEO de Rio Tinto tras la destrucción de yacimientos aborígenes,Los inversores,1,0,-1
16452,Vuelve el vértigo a los inversores en IAG y las aerolíneas europeas,inversores en IAG,-1,0,0
17110,Así se gastarán los 25.000 primeros millones de los fondos europeos,25.000 primeros millones,0,0,0
17712,"2021, el año del Fénix",año del Fénix,1,1,1
17749,Los cuatro fondos de Bolsa que ganan más del 27%,fondos de Bolsa,1,0,0
19196,Todo sobre la Sociedad Limitada de Formación Sucesiva,Sociedad Limitada de Formación Sucesiva,0,0,0
20287,Deutsche Bank dejará de hacer nuevos negocios con Trump tras décadas de colaboración,Deutsche Bank,-1,0,0
20622,"El bono americano ya deja pérdidas del 2,4% en el año",bono americano,-1,-1,-1
20984,La SEC investiga a Exxon por la valoración de sus activos de la Cuenca Pérmica,Exxon,-1,0,0
22327,"El arte contemporáneo se encarece un 48%, según Artprice",El arte contemporáneo,-1,0,-1
22715,Fitch mantiene la nota de la deuda griega en 'BB' con perspectiva estable,la deuda griega,1,1,1
23052,Crece el temor ante una burbuja tecnológica y los hedge funds se hacen fuertes en plena pandemia,burbuja tecnológica,-1,-1,-1
23567,"El fondo de recuperación de la UE 'va demasiado lento', según el ministro de economía francés",fondo de recuperación de la UE,-1,-1,-1
23651,Peligroso atasco en los fondos que invierten en renovables,fondos que invierten en renovables,-1,0,-1
23683,"España, a la cola en la concesión de ayudas públicas en Europa: destina solo el 0,4% del PIB",España,-1,-1,-1
24255,Los economistas critican el plazo de entrada en vigor de la Ley de Auditoría,Ley de Auditoría,-1,0,0
25013,Renfe pierde 480 millones tras un año sin apenas viajeros en el AVE,Renfe,-1,0,0
25338,"El Banco de Inglaterra no mueve ficha, pero anuncia una recuperación muy rápida de la economía en 2021",El Banco de Inglaterra,1,1,1
25376,Santander aprueba la salida a Bolsa de Getnet para impulsar su nueva plataforma de pagos PagoNxt,Santander,1,0,0
26050,Alcampo amplía capital tras culminar su reestructuración societaria en España,Alcampo,1,0,0
26233,70 puestos cotizados para trabajar en 12 sectores emergentes,70 puestos cotizados,1,0,1
27090,Gransolar explora su venta por hasta 1.000 millones,Gransolar,1,0,0
27138,Así es el plan del Gobierno para salvar empresas: quitas y entrar en el capital,plan del Gobierno ,1,1,1
28787,Restaurantes elásticos para sobrevivir,Restaurantes elásticos,1,0,1
28805,Three Gorges cierra la compra de las renovables de los Masaveu,Three Gorges,1,0,0
28870,Los analistas apuntan a que Telefónica bajará el dividendo para mejorar su posición financiera,Telefónica,1,0,0
30073,"España, el país de la Unión Europea donde más crece la desigualdad salarial",España,-1,1,-1
30627,Las lagunas legislativas sobre la intervención de las CCAA amenazan la eficacia de los Perte,lagunas legislativas,-1,0,-1
31735,Aena destinará al menos 1.500 millones de euros a ampliar El Prat a partir de 2024,Aena,1,1,1
32274,La CNMV exige a Barón de Ley que actualice el informe de valoración para aprobar su opa,La CNMV,1,0,0
32333,"Richi Arambarri (Vintae): ""La empresa no está para que vivamos mejor""",La empresa,-1,-1,-1
32667,"Stripe, el mayor 'unicornio' de Silicon Valley tras ser valorada en 95.000 millones de dólares",Stripe,1,0,0
32761,Cinco valores triplican la recuperación del Ibex en los últimos 12 meses,Ibex,1,1,1
33077,Wikipedia lanzará su versión de pago para empresas a final de año,Wikipedia,1,1,0
33171,Samsung lanza dos nuevos smartphones de gama media con mejores pantallas y 5G,Samsung,1,0,1
33173,Juicio a la moratoria concursal,moratoria concursal,-1,0,0
33473,Bolsa: las mejores opciones para el 'rally' automovilístico,rally' automovilístico,1,0,0
33488,"Los Charts de Hódar: CaixaBank, Sabadell y Mapfre",Charts de Hódar,0,0,0
34542,El Ibex salva los 8.400 puntos gracias al giro alcista en Wall Street,Ibex,1,1,1
34666,El asistente oficial de Hacienda cuyas soluciones podrás descargar en PDF,asistente oficial de Hacienda,1,1,1
